Date,Close/Last,Volume,Open,High,Low
03/30/2023,$102.00,53633400,$101.55,$103.04,$101.01
03/29/2023,$100.25,49783280,$98.69,$100.4218,$98.56
03/28/2023,$97.24,38720050,$98.11,$98.44,$96.29
03/27/2023,$98.04,46721300,$99.07,$99.34,$97.08
03/24/2023,$98.13,56144800,$98.065,$98.30,$96.40
03/23/2023,$98.71,57559310,$100.43,$101.06,$97.62
03/22/2023,$98.70,57475370,$100.45,$102.10,$98.61
03/21/2023,$100.61,58597280,$98.14,$100.845,$98.00
03/20/2023,$97.71,62388910,$98.41,$98.48,$95.70
03/17/2023,$98.95,87300240,$99.79,$100.66,$97.455
03/16/2023,$100.04,84558930,$95.75,$100.99,$95.61
03/15/2023,$96.20,70731790,$93.22,$96.67,$93.07
03/14/2023,$94.88,60912670,$93.83,$95.07,$92.71
03/13/2023,$92.43,72397050,$89.97,$94.02,$88.12
03/10/2023,$90.73,69827490,$92.67,$93.57,$90.245
03/09/2023,$92.25,56218710,$93.68,$96.21,$92.18
03/08/2023,$93.92,44899130,$93.60,$94.165,$92.18
03/07/2023,$93.55,49100670,$94.06,$95.09,$92.78
03/06/2023,$93.75,52112360,$95.19,$96.545,$93.74
03/03/2023,$94.90,55759610,$92.74,$94.94,$92.66
03/02/2023,$92.13,55574820,$91.41,$92.23,$90.39
03/01/2023,$92.17,52299520,$93.87,$94.68,$91.59
02/28/2023,$94.23,43959290,$93.14,$94.69,$92.92
02/27/2023,$93.76,47470320,$94.28,$94.78,$93.14
02/24/2023,$93.50,57053810,$93.53,$94.14,$92.3186
02/23/2023,$95.82,48466990,$96.12,$96.43,$93.67
02/22/2023,$95.79,59534090,$95.10,$97.01,$94.80
02/21/2023,$94.58,56580360,$95.335,$95.605,$94.27
02/17/2023,$97.20,60029410,$97.80,$97.94,$95.65
02/16/2023,$98.15,56339170,$99.21,$100.63,$98.10
02/15/2023,$101.16,48053880,$99.09,$101.17,$98.45
02/14/2023,$99.70,56202900,$98.41,$100.9207,$97.52
02/13/2023,$99.54,52841460,$97.85,$99.68,$96.91
02/10/2023,$97.61,52740130,$97.56,$98.8163,$96.23
02/09/2023,$98.24,64622490,$101.32,$101.78,$97.57
02/08/2023,$100.05,75878300,$102.04,$102.6699,$98.775
02/07/2023,$102.11,119501300,$101.17,$102.41,$98.08
02/06/2023,$102.18,81945200,$102.925,$103.9484,$100.65
02/03/2023,$103.39,144374800,$105.26,$108.78,$102.52
02/02/2023,$112.91,158154200,$110.245,$114.00,$108.88
02/01/2023,$105.15,80450120,$102.53,$106.24,$101.24
01/31/2023,$103.13,66527250,$101.155,$103.3484,$101.14
01/30/2023,$100.55,70691860,$101.09,$101.74,$99.01
01/27/2023,$102.24,87775610,$99.53,$103.485,$99.53
01/26/2023,$99.22,68523560,$98.235,$99.49,$96.92
01/25/2023,$97.18,94261570,$92.56,$97.24,$91.52
01/24/2023,$96.32,66929450,$96.93,$98.09,$96.00
01/23/2023,$97.52,76501100,$97.56,$97.78,$95.86
01/20/2023,$97.25,67481540,$93.86,$97.354,$93.2025
01/19/2023,$93.68,69002660,$94.74,$95.44,$92.86
01/18/2023,$95.46,79570370,$97.25,$99.32,$95.38
01/17/2023,$96.05,72755000,$98.68,$98.89,$95.73
01/13/2023,$98.12,85549430,$94.18,$98.37,$94.12
01/12/2023,$95.27,85254780,$96.93,$97.19,$93.50
01/11/2023,$95.09,103126200,$90.93,$95.26,$90.93
01/10/2023,$89.87,67756600,$87.57,$90.185,$87.29
01/09/2023,$87.36,65266060,$87.46,$89.48,$87.08
01/06/2023,$86.08,83303360,$83.03,$86.40,$81.43
01/05/2023,$83.12,67930830,$85.33,$85.42,$83.07
01/04/2023,$85.14,68885120,$86.55,$86.98,$83.36
01/03/2023,$85.82,76706040,$85.46,$86.96,$84.205
12/30/2022,$84.00,62401190,$83.12,$84.05,$82.47
12/29/2022,$84.18,54995900,$82.87,$84.55,$82.55
12/28/2022,$81.82,58228580,$82.80,$83.48,$81.69
12/27/2022,$83.04,57284040,$84.97,$85.35,$83.00
12/23/2022,$85.25,57433660,$83.25,$85.78,$82.9344
12/22/2022,$83.79,81431310,$85.52,$85.68,$82.25
12/21/2022,$86.77,59267160,$86.175,$87.225,$85.21
12/20/2022,$85.19,74348300,$85.33,$86.61,$84.33
12/19/2022,$84.92,83531460,$87.51,$87.63,$84.51
12/16/2022,$87.86,146144100,$88.265,$89.35,$86.73
12/15/2022,$88.45,84802880,$89.89,$89.97,$87.47
12/14/2022,$91.58,70298010,$92.502,$93.4581,$89.87
12/13/2022,$92.49,100212000,$95.23,$96.25,$90.52
12/12/2022,$90.55,61999760,$89.21,$90.58,$87.87
12/09/2022,$89.09,67398510,$88.90,$90.30,$88.63
12/08/2022,$90.35,73305890,$89.24,$90.86,$87.88
12/07/2022,$88.46,68086880,$88.34,$89.89,$87.48
12/06/2022,$88.25,75503630,$90.50,$91.04,$87.90
12/05/2022,$91.01,71535530,$93.05,$94.06,$90.82
12/02/2022,$94.13,72496390,$94.475,$95.36,$93.78
12/01/2022,$95.50,68487970,$96.99,$97.23,$94.92
11/30/2022,$96.54,102805800,$92.47,$96.54,$91.525
11/29/2022,$92.42,65567290,$94.04,$94.41,$91.44
11/28/2022,$93.95,75062320,$93.93,$96.40,$93.43
11/25/2022,$93.41,35088610,$93.79,$94.43,$93.065
